user_name,user_app_rating,user_review_date,company_comment_date,user_simple_comment,user_specific_comment,company_answer_check
清澄あえか,1,2019년 6월 16일,2019년 6월 17일,회원탈퇴하고싶은데 왜 못하게하는거죠? 이앱 깐지 3일이지났는데 당일은 탈퇴할수없다고 자꾸뜨네요 회원 탈퇴 안될거면 회원탈퇴는 왜 만들어놓으신건가요? 어이가 없네요.,no_specific_comment,answer
댓글충,5,2019년 7월 6일,2019년 7월 12일,정말 좋은것 같에요ㅠㅠ 무료 기프트카드를 갖을수 있다는게 너무 행복하네요! 흥하세요!:),no_specific_comment,answer
윤주형,1,2019년 7월 5일,2019년 7월 11일,페이스북에서 이벤트한다고해서 들어갓는데 한 법도 안 알려주고 현재 진행중인 이벤트가 없다네요,no_specific_comment,answer
혜지,1,2019년 7월 2일,no_answer,잠금화면에 뜨는거 얼마나 넘겨야 캐시를 주나요? 친구초대해서 캐시 받은거 외에는 계속 넘겨도 캐시가 안들어와요.,no_specific_comment,no_answer
박지혜,4,2019년 7월 13일,no_answer,쉽게 할 수 있고 적립금으로 사용할 수 있는 곳도 많아서 좋아요,no_specific_comment,no_answer
뭉개구름,1,2019년 7월 13일,no_answer,왜쿠폰안주냐?,no_specific_comment,no_answer
옵치햇비둘기,5,2019년 7월 13일,no_answer,좋다,no_specific_comment,no_answer
dong hwa kim,5,2019년 7월 13일,no_answer,아주~~ 좋은 앱이네요~,no_specific_comment,no_answer
김혜원,5,2019년 7월 13일,no_answer,재밌어요 오로지 뉴스만읽어요 근데 벌써 천점이라니ㅋ,no_specific_comment,no_answer
정지윤,5,2019년 7월 13일,no_answer,추. ㅊ .ㅓ. ㅇ ㅣ : (  66992 ) ㅎ ㅏㄴ ㅣ 앱테.크 정말 최고의 대작.입니다. 몇개월.째 ㅎ ㅏㄴ ㅣ 앱테크 잘 이용하고 있는 유.저입니다. 요즘 미적.립오류도 많.이 줄ㅇ ㅓ.들었고 점점 더 쏠쏠해.지고 나아.지.는 모.습에 요즘 거.의 매일 이용하고있습ㄴ ㅣ다. 앞으로도 꾸준히 발전하길 바랍.니당~로또번.호을 조절.할 수 있게 해주ㅅ ㅔ.요 해주세요 해주.세요 유용한앱.입니다 계속.하고싶.어지네요 해주세요 해주세요.,no_specific_comment,no_answer
드라군dragoon,5,2019년 7월 13일,no_answer,나이스,no_specific_comment,no_answer
김정심,5,2019년 7월 13일,no_answer,1원의 중요함을 생각하게 되네요...,no_specific_comment,no_answer
한슬기,5,2019년 7월 13일,no_answer,먹을 것을 돈을 내지 않고 사먹을 수 있으니 좋아요~,no_specific_comment,no_answer
김민서,4,2019년 7월 13일,no_answer,돈도 빨리 모이고 좋네요,no_specific_comment,no_answer
이은영,5,2019년 7월 13일,no_answer,게임이 넘재밌어여,no_specific_comment,no_answer
